user_id,bookmark
35,784
46,1150
46,1204
46,623
46,2869
46,2812
46,2559
46,1607
46,3995
46,5301
46,5491
46,5854
46,24302
46,37134
46,68798
46,91386
46,91367
46,91367
46,91642
46,90948
46,90953
46,92254
46,92254
46,91330
46,91857
46,90862
46,91055
46,92274
46,90975
46,91063
46,90875
46,91591
46,91789
49,1719
49,1604
49,2834
49,3924
49,1901
49,689
49,6971
49,702
41,2388
41,1612
41,623
41,3995
41,2559
41,3924
41,3538
41,2834
41,24076
41,47837
41,82692
41,65200
68,2823
68,4390
68,2788
68,5691
68,5769
68,7384
68,7212
68,1569
68,5320
68,25336
68,25722
68,27786
79,2747
79,3036
65,2747
54,2747
54,2905
54,2812
54,623
54,1901
54,3538
54,1612
54,2834
54,10352
54,63714
54,63637
54,63637
54,64315
54,63655
54,63605
54,63580
54,64208
54,80099
54,80195
54,83731
54,86921
54,86901
57,2559
57,3995
87,33840
59,3995
59,3995
59,2559
71,2388
61,1607
81,2747
193,5349
207,5301
207,24089
101,2747
101,6079
101,3036
174,5458
174,28558
174,34998
174,67266
174,71655
174,71655
174,69680
174,72451
196,5458
170,5458
170,7212
145,10607
145,29563
145,24089
145,24047
145,42406
145,42501
264,6019
285,6019
286,6019
142,6178
142,5282
144,5301
144,9767
263,5995
173,5458
173,6871
173,47189
141,7541
141,5282
141,22860
140,5282
140,5282
140,22860
140,42475
340,7746
234,5846
156,5349
156,22876
341,7944
341,6855
344,5946
228,5846
320,7173
325,6985
273,5946
273,5946
197,5349
220,5898
159,9434
159,24100
97,5854
211,6855
211,6762
211,5952
211,8725
211,5827
189,5320
189,9434
189,8275
189,24100
189,30376
189,42475
371,5898
147,7212
147,6332
147,9434
147,5320
147,5815
147,3924
147,23211
147,24100
147,25336
147,42475
147,30376
147,27262
354,10607
373,10607
133,10337
133,5458
133,5320
85,5984
85,5282
268,7384
268,14852
268,9201
268,10746
268,26296
268,26662
268,27735
268,24673
268,25669
268,65590
269,1612
269,6178
269,9201
269,14852
269,34987
269,24705
269,42683
269,68259
269,68842
269,72978
269,67455
269,71655
269,65590
259,3538
259,10731
259,1901
259,6178
259,5610
318,5827
318,8725
328,7173
366,1612
366,1612
366,5815
366,5891
366,5946
249,5995
249,34750
262,5984
120,6929
120,5946
238,5846
227,5984
219,5898
219,31836
218,5898
418,24100
418,9434
418,50971
418,67044
418,66725
418,66719
314,5946
272,5946
327,33877
436,17377
436,17846
398,17377
398,17846
462,8725
462,22817
462,42411
462,42420
518,44087
481,23751
481,42420
481,42470
542,21596
542,24779
502,27694
502,43364
502,24703
577,21596
577,42420
562,42420
562,44814
562,44656
562,44015
477,21596
600,7249
600,92274
600,92254
604,10352
604,23547
604,30620
464,42420
464,44656
464,44656
624,23381
598,23381
534,24779
534,42683
484,42420
715,26270
716,26236
430,26236
430,48123
674,24849
674,43554
674,42420
713,26270
487,23547
487,26662
487,702
487,623
487,42420
487,70056
446,28761
627,28761
492,49856
589,28761
589,42411
617,22817
225,24632
225,22311
225,24614
225,23797
225,28658
225,30376
216,29563
216,30620
628,23751
235,31789
569,42420
752,34174
759,33840
761,33840
459,23381
459,42642
641,23329
641,5898
641,42489
641,5282
641,44051
641,42420
641,44814
641,44656
641,44461
641,9767
641,34750
641,57182
641,57359
432,33840
357,29563
637,23703
666,5282
666,5458
666,5984
652,5320
652,70056
652,66783
652,69554
652,68842
652,72100
652,67956
652,69686
652,71663
652,70056
652,66725
612,23329
612,42420
618,22844
618,43580
221,31836
576,24849
576,42420
742,24811
150,24100
665,24849
595,22817
547,42411
466,17013
466,42420
466,42693
466,62435
466,62435
606,42420
451,42420
451,44656
525,42383
525,42420
525,44656
525,44814
476,42420
593,42420
593,44656
593,44814
458,42420
388,42683
452,42420
452,44656
660,42420
587,42420
587,44814
587,43580
473,42420
275,65590
275,42683
237,42683
237,65590
511,42420
309,42683
309,65590
257,42683
503,42420
728,42683
134,42683
545,42420
453,42420
507,42420
591,42420
385,44814
837,48728
837,69686
837,70020
837,69566
837,67863
837,67956
837,69093
837,63637
843,77943
843,702
843,6178
843,64045
843,69580
843,86148
843,63957
843,63890
843,63724
843,84732
889,49015
889,50055
889,51300
887,68842
887,68819
887,68862
887,71663
887,70056
887,71979
954,49364
954,67165
954,67863
954,67863
954,68890
954,67513
954,67513
954,71430
892,64013
892,51693
892,67894
892,49039
892,87134
893,49039
893,51693
893,64013
893,67894
893,68170
871,51005
871,49039
871,63983
871,67894
871,68051
871,68170
872,50055
872,50975
1028,50055
1029,50055
1029,68284
1029,69329
1029,72978
1029,9767
1036,50055
899,49039
899,63803
899,70056
899,68170
899,67894
899,67513
899,68284
899,71430
899,68758
899,69813
899,72171
899,69329
899,68184
899,49003
899,71655
899,71655
899,67257
899,68798
899,66721
899,71979
899,71979
899,69144
899,71432
899,68819
899,70999
899,69093
899,68036
1003,67455
1003,67165
1003,72258
1003,69329
939,49398
939,70999
939,71655
939,71655
906,50853
906,67863
906,67894
906,67894
906,69536
906,67956
906,66725
906,68842
906,68862
906,68170
906,71655
906,44656
1043,50916
1043,51005
1043,50853
1043,51351
1043,67863
1043,67863
1043,67978
1043,67894
1043,72350
1043,72978
1043,67956
1043,68842
1043,69329
1043,69329
1043,69329
1043,67165
1043,66721
1043,71979
1052,48568
862,68509
862,70020
862,69566
862,71432
862,70173
862,71268
862,71701
862,68284
862,69686
862,69580
862,67956
862,67894
862,63655
934,67956
1041,68170
1041,66721
1041,68758
1041,71655
1041,69554
1041,69329
1041,71979
1041,68842
983,49398
983,67165
983,67513
983,68172
983,68842
983,67455
983,67455
983,68890
983,80099
983,88029
818,71937
818,66725
818,71655
818,68284
818,68284
818,67266
818,67956
818,69093
818,67455
818,70993
818,71515
818,67894
820,67266
820,69093
820,68259
820,72362
820,67894
820,67257
820,66725
820,69600
820,71937
820,5610
820,5610
979,49398
979,68188
979,68890
979,72171
979,67513
905,67455
905,67226
905,67226
905,69600
905,68170
905,67354
905,69093
905,68284
905,68284
905,71515
905,69580
905,5610
900,72171
900,68284
900,5610
811,50916
926,50971
926,50971
926,49057
926,49155
926,68900
926,71432
926,87178
984,51005
1020,70993
1020,72978
1020,72100
1020,66852
1020,67044
1020,67863
1020,67863
1020,67894
1020,66721
1020,67455
1020,69329
1020,67165
1020,71655
878,50989
878,67257
878,72541
878,71979
878,68817
878,66725
878,66734
878,69536
878,71655
965,51005
965,86870
963,68862
963,67455
963,67894
963,72350
963,72350
963,72978
963,69931
963,67863
963,67513
963,68842
1057,51005
1047,49057
1047,51749
1047,49155
1047,67354
1047,63983
882,49057
823,5946
823,42383
823,23834
823,48793
823,49049
823,68172
823,68172
823,72100
823,72350
823,67455
823,69329
1048,49057
1048,66777
1048,66734
1048,64004
813,67266
813,71937
1010,49155
1010,49057
1010,51749
1010,63994
1010,68284
1010,66734
1010,68862
1010,63878
971,49398
1050,49057
1050,63994
1050,72978
1050,68842
1050,70993
1050,66777
1050,5610
1050,63878
1044,49057
1044,49155
1044,68172
1044,67257
1044,72122
1044,72100
1044,69813
115,42683
115,5984
115,9767
115,25336
115,51005
927,49155
927,67257
927,67257
927,63994
801,48884
801,68259
801,68284
801,70056
801,70587
801,72541
801,67226
801,69463
1000,49155
1000,49057
1000,63796
1000,66777
1000,66734
1000,63957
865,49217
865,63796
865,68172
865,67257
865,68842
865,67266
865,71979
865,67956
499,43364
499,24736
499,42949
1072,33840
1034,50335
1034,67455
1034,67455
1034,67455
923,49003
923,70056
923,68170
923,71430
923,67894
923,68051
970,69795
970,68890
970,72100
970,69766
970,70499
970,70499
970,51656
970,67165
1073,33840
941,68284
941,67863
941,70020
941,68834
941,68779
941,68842
941,68862
941,67956
343,42731
343,27262
343,5940
565,42826
565,45257
565,48563
565,49039
857,49049
857,63803
857,70056
857,67513
857,67894
857,67894
857,69813
874,49217
903,49049
903,69329
903,69566
903,70499
903,71515
831,6178
831,5610
735,57182
928,49111
928,69554
928,63878
928,63878
894,67894
894,63867
894,49039
894,67455
894,67863
894,68170
894,67266
894,66719
894,70056
894,69813
894,68051
894,5610
890,49039
890,67455
890,67165
890,67863
890,72978
890,68170
890,66719
890,70056
890,67894
962,66751
962,66725
962,71979
1079,64979
870,49064
870,51612
870,64013
870,5610
870,5610
870,70499
1021,68170
1021,67459
1021,69093
1021,72171
1021,67863
1021,67978
1007,67978
1007,72978
1007,67894
1007,67165
1007,68842
1007,67513
1007,71655
916,49180
916,64059
916,67978
916,67863
916,72350
916,72978
916,67894
916,70999
916,69093
916,87190
1091,68188
1091,68900
1091,69108
1091,69190
1091,69144
1091,69813
1091,69766
1091,68184
1091,68172
1091,70587
1091,69870
1091,72171
1091,72171
1091,71198
1091,71492
1091,70220
1091,68201
1091,68817
1091,70056
1091,71705
1091,69758
1091,72122
1091,72362
1091,70020
1091,70395
1091,68834
1091,69463
1091,69566
1091,69680
1091,72100
1091,68177
1091,69527
1091,71432
1091,71955
1091,68170
1091,69795
1091,71515
1091,71268
1091,90875
1091,90862
1091,92251
1091,91922
863,71198
863,69463
863,67513
863,66777
863,71979
863,70173
863,72978
863,69600
863,71268
863,68170
449,67354
449,69795
449,72978
996,67863
996,72350
996,70395
996,67165
996,71826
996,68842
996,71979
1061,67978
1061,68779
1061,67890
1061,71979
1061,70993
1061,87277
897,64013
884,70020
884,67513
884,69536
884,68509
920,68170
920,69813
920,70999
920,66734
920,67894
976,69795
976,69766
976,68890
976,70499
844,70999
844,71655
844,71515
844,70993
844,69093
844,68862
883,68170
883,67165
883,67354
883,67354
883,69329
883,68890
883,69686
883,67455
883,71430
883,64059
919,69329
919,67455
919,67513
919,69190
915,69329
915,67455
915,70587
1051,71955
1065,66727
1065,69527
1065,68036
929,69329
929,67455
302,67044
797,69600
797,70499
797,72451
797,68170
797,68842
851,71655
851,71655
851,68078
851,71705
851,67455
851,5610
921,71655
921,67455
921,68509
921,72978
921,68842
921,68842
921,67266
921,70395
921,71515
921,68184
921,66783
921,66783
921,69527
921,69680
995,72362
995,72541
995,69075
995,67529
995,66903
1037,67956
904,67257
904,68284
1035,67455
1035,69329
1035,72258
1035,71655
1035,68842
1035,67956
1035,71979
1035,71937
993,67863
993,71826
952,67513
1015,67257
1015,69190
1015,68172
834,67513
834,67455
834,66725
834,68051
834,67165
834,68890
834,70999
834,68890
834,67165
834,71663
834,69766
834,68036
834,71655
842,72350
842,67266
842,69686
842,68862
842,68842
842,68170
842,68172
842,67894
842,72978
842,72541
842,69463
842,67257
842,71979
842,71655
842,71655
842,72969
842,72362
842,67978
842,72451
842,67165
856,69580
856,69093
856,71937
856,68284
856,70056
856,69600
856,68172
856,5610
973,68890
973,67513
973,64208
858,68172
858,68842
858,67257
858,67956
858,68819
977,68890
977,67165
977,69795
977,67513
852,68284
852,67266
852,67956
852,72451
852,72362
852,72100
825,69566
825,66734
825,66751
825,67257
825,71979
886,69554
886,66719
845,67266
845,71663
845,69766
845,67863
845,70056
845,67354
845,71432
845,72100
895,67956
895,68259
895,72171
895,68779
949,68842
1054,67956
1054,69463
1054,72978
1054,71647
943,68842
836,68284
836,68259
836,69566
836,71268
836,71198
849,67956
849,68842
849,68078
849,68284
849,69600
849,68259
849,72451
816,68259
816,68284
816,67956
816,68172
816,72978
816,67266
816,71937
816,67513
816,68170
816,71655
959,67956
959,69580
959,69580
959,72100
959,68862
959,67863
959,67863
959,68170
959,72978
959,72978
959,68890
959,72171
829,70173
829,69686
814,68819
814,66734
814,71979
881,68758
881,72451
881,66721
881,68170
817,66734
817,67956
817,68862
817,68819
817,68078
817,71979
1017,71198
1017,69463
1017,69580
1017,71268
1017,69566
1017,69536
1017,69686
1017,70020
841,70020
841,71198
841,69580
841,66751
841,71268
841,69536
841,67455
1019,69536
1019,69580
1019,69686
1019,71268
967,67044
967,68842
967,70395
808,68842
808,68078
808,71463
808,71826
808,72111
808,5610
802,68284
802,66734
802,67513
802,68862
802,71515
802,72171
802,71655
802,70999
802,68078
802,69329
802,70993
833,68842
833,67956
833,71655
833,49057
833,5610
833,63615
1068,71663
1068,67956
1068,71647
1068,63619
1068,63619
1068,63619
840,68758
840,68284
840,69093
840,69766
840,68172
840,71432
840,69463
840,72362
840,66780
840,68078
840,71333
840,68509
840,67459
840,72541
840,69554
840,72111
840,71937
840,67257
840,71647
840,71979
840,72451
938,68890
938,69795
938,69766
938,70499
938,70499
938,70499
938,68817
880,67266
880,68842
880,68172
880,69566
880,67956
880,67257
880,69680
880,68798
880,69554
880,67894
987,68819
987,70395
987,67863
987,66783
987,66783
987,67165
987,67165
951,67956
951,72171
951,71333
951,72978
951,67044
951,67165
924,71655
924,70056
924,67978
924,68170
924,69093
924,68201
924,69680
835,67956
835,67257
835,66852
869,68758
998,72978
998,72451
998,80195
902,71826
902,71826
902,66734
902,70993
902,68842
902,66783
902,68284
902,70999
902,67956
902,67257
902,67455
902,68819
902,5610
922,71663
922,67266
922,67226
922,66751
922,72350
898,69329
898,72111
898,66727
898,67894
898,68758
898,70499
966,66852
966,68509
966,68842
966,67455
966,86870
806,68284
806,72978
806,71701
806,67956
806,71198
806,69463
806,69566
806,70220
981,71655
944,70999
944,70056
944,68862
944,67266
944,86915
838,69686
838,68284
838,68842
838,72350
838,67978
838,72978
838,67894
838,67894
838,71198
838,67455
838,69329
1018,71198
1018,70020
1018,69566
1018,71268
1018,67044
1018,67956
1018,67956
1018,68842
815,69686
815,71979
815,68862
815,67978
974,68890
974,69795
974,69766
974,70499
974,66721
826,68284
826,72978
826,68817
826,66734
826,67044
826,72100
994,68758
994,66721
994,68170
994,70499
994,69554
994,71655
994,67165
994,69329
994,71979
994,63973
1024,70993
1024,67978
1024,72541
1013,66751
1013,67257
1013,68819
1013,72350
1013,68862
1013,5610
917,68862
917,68842
917,67459
917,71979
947,68842
947,69329
947,72978
947,72350
947,66734
947,72969
947,68817
821,72350
821,67257
821,68170
821,5610
854,69463
854,71432
854,68284
854,70056
854,68170
909,69813
909,67978
909,71430
909,67956
909,72978
909,69680
912,67226
912,68036
1067,71663
1067,72978
1067,71647
1067,71701
1067,69554
1067,67956
956,67165
956,67257
956,71979
956,68078
956,66727
956,69680
956,69680
956,72541
1016,68890
1016,67894
1016,67165
1016,72978
888,68862
888,68862
888,67956
888,70993
888,67978
888,68842
1049,66780
1049,68842
1049,72978
1049,68509
1049,72541
1049,68862
1049,68862
1049,66734
1049,5610
605,69554
605,68170
605,71655
605,70056
605,67894
605,70999
605,68842
605,67978
605,72111
805,69463
805,69686
805,70999
868,68170
868,67978
868,72541
868,71937
868,72171
868,68842
868,66721
868,68284
868,70993
868,68779
868,70993
868,72171
847,70999
847,72100
847,67266
803,70999
803,69686
803,72171
803,72978
824,71655
824,72451
824,67257
824,71333
824,71979
824,68078
824,66721
824,69536
824,67044
824,66727
824,67455
824,67513
824,71705
824,72350
824,6178
907,70499
907,70999
907,72969
907,71655
832,70056
832,71198
832,71979
832,6178
1081,70056
1081,69144
1081,68170
1081,69680
1081,69813
978,71655
978,68284
978,67863
978,68172
978,68201
978,68078
978,71937
978,67257
978,72451
978,71979
978,66719
978,68842
978,68862
978,67455
986,67455
986,68284
986,67863
986,72451
986,67513
986,68862
986,67266
986,68170
986,72171
986,67978
986,70999
986,67956
986,69566
986,68036
986,69680
850,68819
850,67266
850,5610
848,68078
848,68078
848,67956
848,66734
1064,69554
1064,66852
1064,72350
1064,70999
1064,71515
807,72451
807,69686
958,72350
958,70999
958,68509
958,67894
958,67863
948,72171
948,68842
948,71663
948,71663
948,68284
948,68862
999,68201
999,70499
999,71333
999,71979
999,70999
999,48804
999,67863
946,67354
1026,70999
1026,67978
1026,69093
1026,72100
1026,68988
960,72978
960,67894
960,67863
960,72100
960,72171
942,67455
942,69329
942,68842
942,66734
942,69686
942,71979
942,72978
942,68817
942,71655
942,69758
